Risk ID,Safeguard,Title,NIST CSF 2.0 Function,Assessed Status,Likelihood (1-5),Impact (1-5),Inherent Score,Inherent Rating,Residual Score,Residual Rating,Treatment,Owner,Date Opened,Due Date,Evidence Artifact,Assessor Note
R-001,CIS 1.1,Establish and maintain detailed enterprise asset inventory,IDENTIFY,MET,1,3,3,LOW,1,LOW,ACCEPTED,IT Operations,2026-08-25,2026-09-24,evidence/CIS-1_1.txt,Asset detail captured for one host.
R-002,CIS 2.1,Establish and maintain a software inventory,IDENTIFY,MET,1,3,3,LOW,1,LOW,ACCEPTED,IT Operations,2026-08-25,2026-09-24,evidence/CIS-2_1.txt,866 packages enumerated.
R-003,CIS 5.1,Establish and maintain an inventory of accounts,PROTECT,MET,1,4,4,LOW,1,LOW,ACCEPTED,IT Operations,2026-08-25,2026-09-24,evidence/CIS-5_1.txt,1 interactive account(s): ubuntu
R-004,CIS 5.2,Use unique passwords,PROTECT,NOT MET,5,4,20,CRITICAL,20,CRITICAL,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-5_2.txt,No minimum password length enforced.
R-005,CIS 5.3,Disable dormant accounts,PROTECT,PARTIALLY MET,3,5,15,CRITICAL,10,HIGH,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-5_3.txt,Only never-logged-in system accounts returned.
R-006,CIS 6.4,Require MFA for remote network access,PROTECT,NOT MET,5,5,25,CRITICAL,25,CRITICAL,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-6_4.txt,"Password authentication permitted, no second factor."
R-007,CIS 4.8,Uninstall or disable unnecessary services,PROTECT,NOT DETERMINED,4,5,20,CRITICAL,20,CRITICAL,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-4_8.txt,Could not enumerate listening sockets.
R-008,CIS 7.3,Perform automated operating system patch management,PROTECT,MET,1,4,4,LOW,1,LOW,ACCEPTED,IT Operations,2026-08-25,2026-09-24,evidence/CIS-7_3.txt,No pending package updates.
R-009,CIS 8.2,Collect audit logs,DETECT,NOT MET,5,5,25,CRITICAL,25,CRITICAL,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-8_2.txt,No audit logging evidence found.
R-010,CIS 3.11,Encrypt sensitive data at rest,PROTECT,NOT MET,5,5,25,CRITICAL,25,CRITICAL,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-3_11.txt,No encrypted volumes detected.
R-011,CIS 11.2,Perform automated backups,RECOVER,NOT MET,5,5,25,CRITICAL,25,CRITICAL,MITIGATE,IT Operations,2026-08-25,2026-09-24,evidence/CIS-11_2.txt,No scheduled backup job found on this host.
